	Comments
Jubay Soriano	I missed you abba..
Zayed Zayed	Forever that is truth lyrics I will be winner 🏆 even I lose before Ace of god card will come to me of the betrayal of All 🎼🦅🌳🍀✈️zied Amami Carthage
Benedito Nascimento	Muita saudade
Paolo Rodriguez	Tempos maravilhosos que não voltam mais,saudade !
кат раз	Все песни АВВА шедевры.
Am Columbo	i really love abba, and i am always listening to this masterpeice group
해피의일상	🇸🇪 ❤️
Jennifer Okazaki	Undergrad, medical school, residency.......And, just turned 40, on verge of retiring. And, still watching this vid. Enjoyed it -Thx Youtube.
Kelly Barahona	amo a ABBA LOVE MUCICA BEYA♥️🥰
Осипов Юрий	Лицемерные твари эти певцы: поют такую печальную историю и лыбятся.
Ralph Madera	What a beautiful woman! So easy to love her ❤
Nadia	Simply amazing!❤
Lyubov Kharchenko	АВВА Это слиток золота который никогда не  гаснет
Lyubov Kharchenko	Песни и музыка об не имеют равных в мире, их слушать можно вечно, они поднимают настроение якобы вырастают какие-то невидимые крылья несущие тебя ввысь вот что люди чувствуют когда слушают их музыку Бог сохрани их пожалуйста
1groovygreg	Painfully splendid.
Antonio Prof	wow
TinaNathan Infinity	Winner takes it all.....
Abel Cecilia	Quero ver alguém lembrar de Ludmila daqui a 10 ou 20 anos.... Kkkkkkkk
Abel Cecilia	Música eterna....
عرس RG estA  ربشحتعصوالسوهصمن	Naçoes   juíza americana viva. رجب CPF  CPF CPF
عرس RG estA  ربشحتعصوالسوهصمن	وصف صحقمثفتnet work
عرس RG estA  ربشحتعصوالسوهصمن	فثشزحيقوجقثcuidado com seus trabalho aqui  no Brasil roubo nois vídeos. Juíza foi   iؤتعفثسؤبيؤءخحهجشقخظ
عرس RG estA  ربشحتعصوالسوهصمن	فثشبخقح
Felix Felix	Uma das melhores músicas já feitas.
stej enli	Респект ШВЕДАМ.
stej enli	СЛАВА ГЕРОЯМ  !!!!!!!
stej enli	!!!! А тепер - УКРАЇНСЬКА ЗИМА!!!!!  Слава Україні  !!!!!!
Lionheart Mind Explosion	wish i could rewind time to these days but then i realise i wouldn't even exist
Maria Corsino	She Sung's beautifully,but it was Bjorn feelings at that time,he wrote the song !
